net,length_um
net306,3.3µm
_0780_,3.205µm
_0010_,3.2µm
_0658_,3.2µm
_0921_,3.2µm
net275,3.2µm
_0000_,3.1µm
_0191_,3.1µm
_0598_,3.1µm
_0869_,3.1µm
_1003_,3.1µm
_0228_,3.08µm
_0254_,3.08µm
_0355_,3.08µm
_0364_,3.08µm
_0525_,3.08µm
_0834_,3.08µm
_1007_,3.08µm
net101,3.08µm
_0022_,2.98µm
_0270_,2.98µm
_0601_,2.98µm
_0112_,2.96µm
_0139_,2.96µm
_0312_,2.96µm
_0417_,2.96µm
_0440_,2.96µm
_0754_,2.96µm
_0827_,2.96µm
_0730_,2.92µm
_0674_,2.87µm
_0821_,2.86µm
_0715_,2.84µm
_0303_,2.76µm
_0430_,2.76µm
_0476_,2.76µm
_0632_,2.74µm
_0716_,2.72µm
_0702_,2.645µm
_0472_,2.64µm
_0495_,2.64µm
_0997_,2.64µm
net281,2.64µm
_0026_,2.62µm
_0148_,2.62µm
_0272_,2.62µm
_0320_,2.62µm
_0340_,2.62µm
_0427_,2.62µm
_0491_,2.62µm
_0539_,2.62µm
_0622_,2.62µm
_0755_,2.62µm
_0836_,2.62µm
_0949_,2.62µm
net335,2.62µm
_0108_,2.52µm
_0301_,2.52µm
_0429_,2.52µm
_0552_,2.52µm
_0559_,2.52µm
_0784_,2.52µm
net274,2.52µm
_0016_,2.5µm
_0021_,2.5µm
_0048_,2.5µm
_0059_,2.5µm
_0179_,2.5µm
_0276_,2.5µm
_0297_,2.5µm
_0470_,2.5µm
_0835_,2.5µm
_0845_,2.5µm
_0875_,2.5µm
_0944_,2.5µm
_0970_,2.5µm
_0762_,2.38µm
_0082_,2.3µm
_0166_,2.3µm
_0223_,2.3µm
_0710_,2.3µm
_0050_,2.18µm
_0570_,2.18µm
_0586_,2.18µm
_0938_,2.18µm
_0024_,2.16µm
_0028_,2.16µm
_0076_,2.16µm
_0129_,2.16µm
_0341_,2.16µm
_0354_,2.16µm
_0374_,2.16µm
_0503_,2.16µm
_0550_,2.16µm
_0676_,2.16µm
